,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
132,132,1.0,0.7626844644546509,"[(1, 0.76268446), (8, 0.23241773)]"
133,133,1.0,0.9873830080032349,"[(1, 0.98738295)]"
134,134,5.0,0.40945422649383545,"[(5, 0.40945423), (6, 0.19687748), (13, 0.3886638)]"
135,135,5.0,0.9938982129096985,"[(5, 0.99389815)]"
136,136,14.0,0.9890137910842896,"[(14, 0.9890138)]"
137,137,5.0,0.6601412892341614,"[(5, 0.6601413), (9, 0.3344045)]"
138,138,1.0,0.5320404767990112,"[(1, 0.5320405), (12, 0.45501575)]"
139,139,3.0,0.4925001263618469,"[(3, 0.49250013), (4, 0.18305779), (12, 0.30538565)]"
140,140,4.0,0.986061692237854,"[(4, 0.98606175)]"
141,141,12.0,0.985176146030426,"[(12, 0.98517615)]"
142,142,12.0,0.8372429609298706,"[(4, 0.09806135), (10, 0.049593527), (12, 0.83724296)]"
143,143,3.0,0.5157875418663025,"[(3, 0.51578754), (12, 0.474358)]"
144,144,12.0,0.7394390106201172,"[(6, 0.10475737), (12, 0.739439), (13, 0.14452668)]"
145,145,12.0,0.8827823996543884,"[(0, 0.106505334), (12, 0.88278246)]"
146,146,9.0,0.9904733300209045,"[(9, 0.9904733)]"
147,147,14.0,0.6724676489830017,"[(1, 0.32030627), (14, 0.67246765)]"
148,148,6.0,0.5796389579772949,"[(6, 0.57963896), (8, 0.16476226), (10, 0.2473454)]"
149,149,0.0,0.5478612184524536,"[(0, 0.5478612), (3, 0.07987684), (5, 0.28813303), (9, 0.05056196), (11, 0.028932935)]"
150,150,0.0,0.9906643033027649,"[(0, 0.99066424)]"
151,151,0.0,0.9932343363761902,"[(0, 0.99323434)]"
152,152,4.0,0.6417390704154968,"[(4, 0.6417391), (13, 0.35137966)]"
153,153,8.0,0.7146289944648743,"[(1, 0.22139947), (8, 0.714629), (9, 0.058671266)]"
154,154,1.0,0.9936920404434204,"[(1, 0.99369204)]"
155,155,12.0,0.5840843319892883,"[(4, 0.3936687), (12, 0.58408433)]"
156,156,12.0,0.7402067184448242,"[(12, 0.7402067), (13, 0.24372762)]"
157,157,12.0,0.9893913865089417,"[(12, 0.9893913)]"
158,158,12.0,0.9884737730026245,"[(12, 0.9884738)]"
159,159,6.0,0.7250276803970337,"[(6, 0.7250277), (12, 0.2632557)]"
160,160,5.0,0.9346449375152588,"[(5, 0.93464494), (12, 0.05612965)]"
161,161,11.0,0.7885535359382629,"[(9, 0.20286076), (11, 0.78855354)]"
162,162,4.0,0.9892675876617432,"[(4, 0.9892676)]"
163,163,11.0,0.9895093441009521,"[(11, 0.9895093)]"
164,164,0.0,0.9878743886947632,"[(0, 0.9878744)]"
165,165,12.0,0.8154717683792114,"[(10, 0.17769818), (12, 0.81547177)]"
166,166,9.0,0.9862654805183411,"[(9, 0.9862655)]"
